verified_monthly_income,income_volatility,income_stability,foir,ltv,emi_to_income,existing_monthly_obligations,bank_balance_trend,income_sources,income_mismatch_percentage,document_confidence,identity_mismatch_flag,repayment_history_score,employment_stability,loan_amount,vehicle_price,tenure_months,risk_label
62957.009884,0.012505,0.987495,0.245087,0.878706,0.343311,22467.583145,-0.239143,1.843844,0.010429,0.609319,0.0,0.703213,0.415922,127604.801233,352951.463867,60.0,0.393136
59194.926291,0.404715,0.595285,0.623783,0.853791,0.232283,3681.439012,0.370049,1.673189,0.032461,0.548358,1.0,0.908497,0.762236,334423.612913,386487.350411,24.0,0.764564
87983.682298,0.189267,0.810733,0.639113,0.802038,0.404363,20319.027089,0.1932,1.091649,0.079764,0.644694,0.0,0.447875,0.539675,94340.485999,196748.913306,48.0,0.557928
41645.302517,0.335088,0.664912,0.544306,0.446412,0.329543,8897.766706,-0.128632,1.92452,0.094482,0.962696,0.0,0.812897,0.531769,170256.129701,402691.702589,24.0,0.403866
17407.518293,0.157727,0.842273,0.237139,1.012891,0.409201,2191.104387,0.158807,1.791264,0.320092,0.729426,0.0,0.558928,0.547977,250865.165615,190351.47558,60.0,0.542117
44955.037886,0.10966,0.89034,0.431192,0.459091,0.135548,1971.712324,0.139212,2.584159,0.147756,0.531764,0.0,0.628972,0.997673,239898.877334,487852.918598,24.0,0.352728
23591.380724,0.442394,0.557606,0.599589,0.621114,0.216855,1492.463919,-0.297728,2.444184,0.251888,0.985944,0.0,0.857177,0.704609,96179.679751,342626.081298,36.0,0.420185
72188.310006,0.26969,0.73031,0.44473,0.400372,0.226971,562.397247,0.350369,2.757444,0.291083,0.653757,0.0,0.434755,0.926806,381962.811401,115974.449869,60.0,0.447969
88348.837026,0.266353,0.733647,0.528838,1.015452,0.174492,18647.746179,0.124616,2.928726,0.32512,0.877633,0.0,0.813921,0.827769,195657.381999,362108.523048,48.0,0.485556
53818.188078,0.060502,0.939498,0.319756,0.782401,0.195938,4740.680246,-0.250305,2.262206,0.08013,0.95271,0.0,0.915781,0.442514,140921.575685,360970.666884,36.0,0.361133
69251.442441,0.441192,0.558808,0.257948,0.707432,0.25433,2612.878987,0.161288,1.708595,0.143886,0.931918,0.0,0.432503,0.792073,279701.11544,105457.323112,48.0,0.467617
23195.177418,0.095795,0.904205,0.191118,0.519267,0.272667,8113.542742,-0.247231,2.616044,0.299588,0.548954,0.0,0.791287,0.724353,65017.671209,119170.365997,36.0,0.28467
51423.084409,0.106874,0.893126,0.138113,0.646333,0.445152,5455.023698,0.248849,1.910017,0.148053,0.978659,0.0,0.997254,0.733461,304258.813601,145014.666615,48.0,0.254317
19386.246901,0.367869,0.632131,0.303843,0.432593,0.27734,7129.386366,0.071788,1.113759,0.17774,0.925671,0.0,0.441113,0.440777,353018.52867,249585.731554,36.0,0.459161
17980.624672,0.040992,0.959008,0.467398,0.60564,0.206053,4816.836554,-0.080071,1.531229,0.045807,0.82275,0.0,0.674335,0.957411,378149.657731,83912.491891,24.0,0.328935
30986.57342,0.1326,0.8674,0.672562,0.971526,0.241944,1955.213521,0.283621,2.40708,0.214087,0.993617,0.0,0.792386,0.404694,337815.405939,205739.075924,24.0,0.595705
25071.83358,0.057714,0.942286,0.459595,0.577026,0.319594,7196.741332,-0.157482,2.268476,0.092394,0.744266,0.0,0.943202,0.907662,91381.479022,257901.824477,48.0,0.294048
40016.740395,0.06541,0.93459,0.205028,0.687193,0.35287,8978.265757,-0.221688,2.890102,0.241857,0.574527,0.0,0.421617,0.62153,247858.532893,260510.41941,24.0,0.414428
82423.611656,0.398061,0.601939,0.684301,0.53655,0.202345,3389.048621,0.246081,2.768269,0.142232,0.810331,0.0,0.492732,0.957929,353965.936715,490006.533831,36.0,0.532109
16858.977142,0.368282,0.631718,0.70503,0.921453,0.405141,5467.361679,-0.113236,2.574749,0.037833,0.936083,0.0,0.915156,0.53346,337639.445903,273327.358565,48.0,0.590645
80349.22769,0.111462,0.888538,0.359003,0.581092,0.142909,24854.479228,-0.054198,2.018811,0.237831,0.921831,0.0,0.59869,0.41656,358193.059936,189710.382484,48.0,0.376561
59742.844124,0.172844,0.827156,0.383656,1.039753,0.158163,21495.588419,-0.166945,1.088773,0.15262,0.75996,0.0,0.883907,0.812114,379689.460935,389555.831266,36.0,0.404943
20248.035834,0.332119,0.667881,0.304045,0.95121,0.357519,2432.374419,-0.083501,1.816786,0.14084,0.647828,0.0,0.476373,0.652268,379723.648048,364473.537015,36.0,0.520412
37571.240592,0.273969,0.726031,0.286494,0.679427,0.311395,9839.241002,0.025492,1.88432,0.074795,0.736593,1.0,0.940708,0.877615,117695.074707,115614.125425,48.0,0.627022
22004.040006,0.476,0.524,0.301773,0.924266,0.168627,406.755401,0.388755,2.222548,0.268971,0.727708,0.0,0.931682,0.745403,304237.61127,241270.956305,60.0,0.371137
64204.350833,0.002772,0.997228,0.60053,0.469282,0.260298,4517.076088,0.370576,2.035916,0.017576,0.624599,0.0,0.909002,0.673877,332481.644586,360382.647686,48.0,0.405043
81856.944436,0.306326,0.693674,0.428106,0.93987,0.300798,29377.085541,0.220559,1.949349,0.090717,0.62362,0.0,0.782597,0.859488,237241.936362,343234.343532,48.0,0.451896
68515.864696,0.117247,0.882753,0.680467,0.452375,0.169774,10497.597708,-0.193036,1.427906,0.145204,0.665441,0.0,0.679555,0.437359,343182.997576,243580.26132,24.0,0.500966
72419.593209,0.190191,0.809809,0.328643,0.889759,0.401638,27618.814906,-0.006685,2.495031,0.191146,0.801626,1.0,0.532323,0.531653,208184.231856,92190.424378,48.0,0.816568
65165.521547,0.399071,0.600929,0.646329,0.997702,0.443638,13922.577956,0.33485,2.183786,0.23205,0.541974,0.0,0.657168,0.920111,121787.869015,189265.651846,48.0,0.561547
